IS001,AC not working,10/04/2019,17/04/2019,HIGH,CLOSED,101
IS002,Payslip downloading problem,01/04/2019,15/04/2019,MEDIUM,CLOSED,102
IS003,Leaves not reflecting in Leave System,01/04/2019,15/04/2019,MEDIUM,OPEN,102
IS004,Need access to xyz system,01/04/2019,21/04/2019,LOW,OPEN,105
IS005,Not received Form 16,25/04/2019,16/05/2019,LOW,OPEN,106
IS006,Not able to apply leave,25/04/2019,07/05/2019,MEDIUM,OPEN,103
IS007,Change of name in Employee directory,25/04/2019,02/05/2019,HIGH,OPEN,104
IS008,yearly Health check up arrangement,25/04/2019,16/05/2019,LOW,OPEN,106
IS009,Access to Git repository,02/04/2019,17/04/2019,MEDIUM,CLOSED,103
IS010,Reset Mail password,02/04/2019,05/04/2019,HIGH,CLOSED,104
IS011,Replace Chair,02/04/2019,23/04/2019,LOW,CLOSED,106
